feature_1,feature_2,feature_3,feature_4,feature_5,category
90573,20889,89975,28092,74283,alpha
57941,76573,55884,28895,53156,alpha
25401,26274,63609,1531,243,gamma
81954,74918,23813,5453,46144,beta
87149,78676,27034,41941,8,alpha
5001,85173,69239,81201,32880,beta
25517,1342,99760,33533,86246,alpha
46559,89022,45567,679,39867,beta
79538,46980,59806,34862,7309,gamma
79640,9300,2140,85421,11692,alpha
5683,74622,53365,47080,69788,alpha
69040,7360,11871,98560,1859,alpha
51198,19130,7399,64589,70009,gamma
85683,46327,96630,44877,40693,beta
45567,84609,1044,4892,58443,alpha
62801,63909,40936,24223,54952,gamma
58133,74211,63913,47243,61908,beta
10759,27803,88888,17588,90063,beta
12491,79124,74290,7046,85948,alpha
96979,3043,44019,29096,83771,gamma
75307,50508,7912,31772,30378,gamma
11172,4026,93244,25415,17427,alpha
54187,28727,38217,74638,31480,gamma
58807,70839,19501,78892,77245,alpha
2055,61267,32781,49945,2149,beta
13608,93932,72382,1804,12641,beta
13785,92129,86458,28974,60631,gamma
66295,69396,14859,18025,89111,gamma
50964,50968,30727,45731,83745,gamma
35953,66097,65773,71514,11325,beta
46206,23851,67743,65031,71093,beta
77200,86923,19033,64755,37481,gamma
5578,64717,73798,27492,60832,gamma
95659,22559,50387,97801,86862,alpha
98766,45765,6390,12416,71365,beta
88396,5194,46039,81875,68376,beta
98355,45875,72715,30765,54920,alpha
32556,42275,26760,52320,39847,gamma
43169,54359,92268,47148,21344,gamma
36124,85925,49136,82892,41786,beta
49469,766,2478,20282,62138,alpha
67969,22104,33785,62395,48005,gamma
88600,92539,13901,2161,71555,alpha
7111,84961,62775,37121,77615,gamma
97249,21339,47717,42273,64863,gamma
15966,80645,33927,50816,45545,gamma
83922,23825,67805,5455,93152,beta
32347,80814,58319,26122,16239,gamma
65511,92374,82334,32539,73106,gamma
74354,15061,4034,6087,98956,gamma
16896,28188,2444,9001,96540,alpha
52061,78223,28475,25078,90151,beta
78172,221,72630,91577,77363,alpha
61503,73697,38831,7022,99345,beta
29695,21845,95241,83826,43789,beta
56242,3445,60781,78174,57133,alpha
89793,23356,897,36677,73155,beta
33344,13986,71726,70873,1244,alpha
85002,16573,12146,88963,28757,beta
55201,22857,89268,27642,44315,beta
70166,99376,78667,44620,80739,beta
69230,54570,18016,1338,49877,alpha
46913,95817,45862,2585,59101,alpha
27541,47818,14101,86359,56348,alpha
87154,17673,16865,11928,24980,beta
63420,36469,54906,36774,8908,beta
67393,70789,24859,89994,55206,gamma
89284,42515,60884,87898,67897,gamma
10161,79528,8801,79505,32417,alpha
59457,78068,26982,62784,125,alpha
25307,35098,45085,1621,57675,gamma
11007,62688,62760,78840,76144,alpha
7101,6788,56239,91780,37958,beta
65363,35097,83781,82178,72870,beta
52813,23216,82451,99769,136,beta
39614,11769,7429,20069,61544,gamma
45354,47935,28768,22532,1399,beta
85646,69356,35327,27510,45985,beta
86199,83144,41305,45879,61563,gamma
57813,52120,81383,65148,71963,beta
9205,60708,53320,77050,61439,gamma
5246,14115,41856,35037,96408,alpha
22824,77494,82500,96986,83414,gamma
40914,77300,27650,17287,14127,beta
58038,14926,38732,41128,66106,beta
15521,44573,25917,4165,40435,alpha
4964,68195,9191,4191,33557,gamma
42358,37216,29686,69141,27491,beta
21073,64731,49548,1489,8081,alpha
23625,47602,10233,76865,5021,beta
24722,81732,64249,66223,39007,gamma
45945,78468,81101,45289,82602,alpha
21906,41290,9382,69477,57301,gamma
21306,29420,55389,81075,55645,beta
50414,37077,83209,73834,29522,alpha
75022,40251,39970,59938,9216,gamma
23086,10174,78956,83188,66833,gamma
72729,98619,12945,61758,25128,beta
84689,74794,18385,76511,27941,alpha
91385,5808,89399,13276,60080,beta
6568,47827,11451,86370,598,beta
49463,44747,58813,92788,86627,gamma
69493,66715,89124,8979,95669,beta
64838,49505,64773,75113,19887,alpha
60893,87412,96109,32279,54924,alpha
5238,35272,60424,21950,95399,gamma
26374,83663,14309,55071,91068,beta
32315,32106,28210,92711,96114,gamma
33034,45384,95945,42889,72157,alpha
71096,63059,48424,19425,28736,gamma
77983,58983,54447,15484,75850,beta
33320,18936,70994,93041,91270,gamma
88677,2100,6243,62268,36188,gamma
46114,17773,11744,71999,55434,gamma
14213,14465,36812,89024,15322,alpha
807,91518,74345,82830,69021,alpha
94981,80737,49172,46520,5814,gamma
41811,95586,33470,2355,44836,gamma
48325,55753,4852,37384,56800,gamma
6778,95589,19567,50434,39821,gamma
28948,22643,89325,12247,83630,beta
60948,13609,25439,20112,23079,alpha
99385,6531,81449,18262,90424,gamma
96803,78076,31795,95125,57176,gamma
79299,47625,22679,71586,42865,alpha
36685,85651,93549,32252,49203,beta
34550,99597,66470,47688,88313,gamma
30369,70227,47938,60875,82418,gamma
92271,56422,91147,47913,44263,alpha
63991,93638,67208,20018,93333,beta
88200,58483,90047,13886,98632,alpha
46475,20250,9331,66545,24904,gamma
41434,74523,40994,59754,165,beta
3679,27304,62274,31415,74114,gamma
3037,5088,1698,34831,1191,beta
86852,7175,89525,38560,71090,beta
61751,63205,39443,76851,49032,alpha
24896,94785,45330,87951,29124,alpha
42999,91411,21354,97587,59021,gamma
50892,17498,76706,99768,54905,gamma
54689,55963,50594,69006,63746,gamma
56218,47107,66965,79940,86888,beta
58598,21270,58326,33676,38459,beta
80154,630,15665,7159,8142,alpha
1291,76937,73445,50907,75626,gamma
93218,80805,18613,1811,43275,gamma
39682,769,99803,65813,25378,beta
68844,74995,47624,60246,79101,beta
29456,25229,73971,73658,48743,gamma
96953,39971,93344,70601,26175,alpha
42124,15009,32644,67488,83076,beta
36823,46702,92871,89361,48728,alpha
2065,75747,11161,36691,1383,beta
49020,83795,78700,83715,49173,gamma
71896,56148,93649,65004,88557,beta
73928,14315,9480,36538,11552,gamma
2310,45472,91121,14944,58298,gamma
43100,21248,54900,21342,47283,alpha
44327,47531,36134,41491,1376,gamma
16258,99467,83591,98751,74606,beta
42617,54922,32793,11990,34341,gamma
15647,65732,69743,18062,10172,beta
5994,10035,21974,29053,97307,gamma
3218,95541,12665,7248,62478,alpha
2001,49174,61775,58557,8147,beta
18712,55455,55579,51290,87667,gamma
81626,98796,86499,4235,91598,gamma
76819,23890,38297,63470,67172,alpha
17322,29897,74651,16204,20504,alpha
22386,99795,21710,75153,57511,beta
66902,23618,13322,62628,73867,gamma
63968,97691,42245,8697,66373,beta
50091,4308,88408,558,59427,beta
65105,74795,98022,15254,24982,alpha
68642,30012,58064,4261,56499,alpha
69121,35262,9693,56672,78358,gamma
8221,60178,33446,97881,24799,beta
92265,13851,56776,86076,6319,beta
91598,47711,71820,36949,36327,alpha
3466,61792,93911,17831,72811,beta
78002,64463,34717,47742,4509,alpha
98509,91061,49926,25666,49630,gamma
58505,91196,69496,32357,17700,gamma
14,90161,85417,47859,49274,beta
86677,67454,90782,52195,10492,beta
13643,59163,16324,29917,68303,alpha
80146,27127,99149,45055,16942,beta
10866,10135,14858,66124,34121,alpha
87260,98278,17973,57402,96960,beta
73361,36483,24783,18769,60628,alpha
33077,22936,67197,2185,35206,alpha
72061,9972,21184,34656,46590,gamma
81170,64134,15854,96300,20941,beta
15397,9862,85058,92746,75353,beta
20069,32258,45660,11275,43000,beta
67754,72582,81245,85225,58873,beta
31695,90668,6680,85379,58809,gamma
13760,91005,36713,194,4251,beta
20589,3530,67236,96129,48456,beta
75836,61407,86652,3890,57118,alpha
4692,80592,45043,52969,17370,gamma
74011,58106,68774,87744,90690,alpha
58062,84515,8574,72477,6492,beta
58134,59332,28334,19978,91666,gamma
93373,43079,69930,44924,17032,alpha
78808,61901,45342,25408,15005,gamma
41160,34279,27164,90206,130,gamma
61174,11810,29633,97411,46376,gamma
73841,47568,52313,84765,59990,alpha
91402,40480,48421,97517,52740,alpha
67831,62002,42560,3267,96431,gamma
74937,74213,66212,77958,41982,beta
90683,7482,38281,49952,67405,beta
17315,62830,66341,62707,10038,gamma
15773,57113,80222,44841,43438,gamma
88652,31698,1615,99736,40316,gamma
34265,1916,60177,71432,13783,gamma
42606,92519,91920,96093,40835,gamma
28982,57653,28571,35838,58791,alpha
88840,47779,64135,15549,37115,gamma
97493,5592,45872,12505,5377,alpha
76446,65611,85778,55652,63040,beta
60347,76093,65211,74849,55942,beta
64332,39107,83686,52190,54155,alpha
60385,45659,94200,97441,83406,alpha
12850,41476,53551,84948,47527,gamma
52066,15444,24871,1988,44429,gamma
86497,46857,70481,96720,23781,alpha
61232,30711,24543,90256,77525,gamma
84952,71602,51407,41405,70045,beta
60214,40171,46121,66690,37566,gamma
28581,85772,54003,22919,14396,alpha
60061,19249,5188,24670,86775,beta
81464,89350,43215,53641,39452,beta
70365,91091,45545,89249,57799,gamma
2017,16556,62968,74310,19129,alpha
83277,72932,62302,95481,89433,beta
70361,12669,64703,78799,49600,beta
65723,11539,62968,94449,64833,alpha
81886,14865,65449,4553,3446,gamma
93686,84741,88129,62927,42052,gamma
44156,77525,71033,11413,70142,gamma
73280,52219,15587,8112,81484,gamma
29374,65164,70258,48635,52858,beta
78063,34417,51793,19157,52992,alpha
82243,14344,49607,39688,34129,gamma
1813,82532,96708,7652,68075,alpha
12802,88601,58358,68871,42452,beta
99379,31697,46788,48517,22397,beta
76954,59605,40341,52709,68151,beta
31205,6698,46106,57200,49184,alpha
21630,81385,68379,35165,7009,alpha
61036,2738,78527,55842,92579,alpha
47365,49644,58076,7295,57238,beta
33037,94408,52023,13902,54168,gamma
57286,62353,84109,50713,17127,gamma
25948,18663,51642,5702,74040,beta
24776,27915,90114,73631,94560,alpha
8328,26672,40528,50331,25596,beta
51116,43822,80916,81969,30894,beta
79108,29446,79186,41375,40375,alpha
79101,44458,27202,50790,81762,gamma
92133,74290,19119,12530,10420,beta
5842,38237,11495,58121,70237,beta
7560,84975,77054,65621,53342,alpha
73773,2083,44275,16372,84859,gamma
74778,57934,46482,77450,24607,gamma
11923,86061,66107,95694,7235,alpha
73744,15936,28856,10833,33846,beta
47592,96259,64691,13330,32898,alpha
18929,88642,7452,37508,11327,beta
61918,80410,30496,7481,42301,beta
12759,44766,19999,20474,84454,gamma
35624,95227,5880,74381,53594,alpha
28117,5413,94086,7656,52761,alpha
12337,98985,1118,12506,53900,gamma
55007,87204,32743,34668,33850,gamma
90553,77583,20167,51793,26458,alpha
18184,44123,19733,73525,70549,alpha
9200,58381,46017,99406,49585,gamma
90588,43744,28911,81259,85853,gamma
98285,55696,89856,52462,52715,alpha
29200,76808,16767,82782,57611,beta
46713,77676,75073,96245,44580,gamma
48948,32424,99293,39757,95724,alpha
14595,23431,95574,70214,61968,alpha
44949,40037,11481,22407,36135,gamma
44135,78980,72763,28794,87971,alpha
42331,28284,65000,24229,27586,gamma
47135,12461,34654,75244,7704,beta
52031,16544,76590,8516,49789,beta
90396,94394,2042,97438,60953,alpha
46654,23993,49236,82657,70320,gamma
65472,62778,30141,32707,39150,gamma
44078,62741,34255,36204,17087,beta
20653,7098,31391,64353,33492,gamma
32858,18153,98980,58690,55722,gamma
36972,88609,70332,84294,4780,gamma
8872,1291,94478,51837,9974,alpha
27127,51471,86274,39834,73965,beta
61846,49056,49455,50778,16087,alpha
30134,34021,16026,59694,9118,gamma
67534,9634,86179,13207,48272,gamma
98092,84669,7296,60179,39620,gamma
61119,66396,86853,95153,42238,alpha
63028,16864,46700,14757,25436,beta
57451,71356,62431,15640,59420,beta
67698,49698,11054,26552,23199,alpha
35454,53037,56867,51270,8585,alpha
26413,43616,4633,46255,49327,gamma
37533,4319,98787,71873,94332,gamma
94726,74039,5405,32493,86745,gamma
70872,79264,25769,33285,93823,alpha
94794,41175,2599,27319,21071,beta
42768,87847,33895,10747,18745,gamma
26557,82266,23497,39733,14344,gamma
72498,25225,62000,92829,8456,gamma
11437,52093,61119,3810,34842,beta
44115,92058,52818,52529,83754,gamma
11304,92177,92348,88263,15715,alpha
31205,72756,86095,9484,70425,beta
26223,9817,55351,28500,8380,beta
69041,68756,80135,53984,80837,alpha
17087,15793,9601,66375,18949,gamma
66069,12760,48813,45662,96956,alpha
79778,1341,59972,99925,27192,beta
85615,88728,3537,87880,23413,alpha
33440,82282,3079,34151,56951,gamma
55612,31111,35055,66164,99953,gamma
94234,7477,31618,64288,32478,beta
24731,86228,92339,35612,43100,beta
36028,68851,97084,94869,3783,beta
90156,82512,23254,59110,67534,gamma
56024,91471,35824,75695,87185,gamma
44703,78701,58533,28724,49294,beta
61305,26416,28358,39615,78994,gamma
56612,45187,23110,42892,19646,beta
80999,14582,44092,55715,20743,gamma
82521,61210,21999,47001,66604,alpha
22441,69901,18281,9708,96219,gamma
64071,45619,18372,21172,53042,gamma
74881,42543,72624,64186,75912,beta
47718,65537,69706,95146,87260,gamma
18189,11247,98215,71931,73006,beta
41889,10622,96419,34150,48318,alpha
21226,98520,83300,79876,66847,alpha
92531,19363,48712,96525,53055,beta
17951,97928,25558,76591,6963,alpha
96364,13268,99435,87583,80747,alpha
81500,75233,29688,41685,65604,gamma
52921,55579,54615,62625,33204,gamma
19049,49959,54975,30579,83593,alpha
82474,93928,8107,14662,82543,gamma
23992,15730,72526,40509,85357,alpha
69052,62146,20156,88281,28033,beta
77001,35677,10286,77054,81086,alpha
49773,44803,98734,52804,23614,gamma
98053,3922,79377,66917,17955,gamma
331,36439,23224,87197,30455,beta
23437,78721,81273,96033,14905,beta
1396,40147,50531,40307,33494,beta
6562,75041,35284,83324,36709,alpha
93677,60551,53034,25342,80061,gamma
1203,80854,66349,78211,31293,alpha
59774,64137,43140,88927,45713,beta
50616,75070,7256,6910,96464,gamma
52484,47593,44282,51811,60690,beta
49476,46752,3040,67822,50210,alpha
24890,50729,33406,38617,33124,gamma
7253,47818,23600,39385,65832,gamma
56424,23088,25039,80467,49132,gamma
12461,62783,19889,31483,48042,beta
64801,90325,92862,24421,26212,gamma
58050,67738,16390,48610,19578,gamma
59158,97406,80257,14577,69283,beta
85817,88016,61962,9990,78701,alpha
63774,66093,28997,18173,14564,alpha
44013,52020,29532,93251,43565,alpha
15691,16538,38680,12268,47612,alpha
7179,187,18448,65457,79819,gamma
25950,97490,73333,58239,96664,gamma
28558,86156,19246,97707,91881,beta
71810,47481,24465,88572,45449,gamma
18299,17371,44216,43266,80787,gamma
48529,24228,93715,75081,10687,beta
35476,95456,12623,45474,29283,beta
97659,29708,98311,68466,43166,alpha
8964,29355,17202,48483,17390,gamma
96408,92684,88994,82463,75719,beta
48261,18480,69627,99082,87622,alpha
65166,24743,77559,67434,18535,beta
92260,14449,46525,55613,74269,beta
63826,66968,55801,92772,80748,gamma
24150,34315,37128,42364,2980,gamma
82192,90018,6642,5102,98672,alpha
65384,55261,41336,33851,49923,alpha
61864,56771,2007,39690,73695,alpha
29930,75251,83198,42812,91484,beta
17121,52591,60918,54369,91412,alpha
86040,76244,22077,58963,28183,alpha
18856,7096,94785,79609,79112,beta
7402,53895,6269,88671,48953,beta
88902,33317,68755,34298,45614,alpha
67662,71654,21019,70110,12219,beta
10517,59111,57456,22194,23777,beta
12348,29185,64600,60875,88502,alpha
3075,32242,2791,29310,89868,alpha
50908,48863,71834,79389,71789,alpha
87929,66299,79165,21696,97802,beta
56150,63920,33296,94874,30836,alpha
55247,35044,35739,59265,60390,beta
20770,60814,22986,15520,34870,gamma
1743,96074,96211,24115,95250,alpha
58790,6897,87739,63497,58823,gamma
7489,98743,4185,49319,23520,alpha
72566,48511,42547,30859,47805,beta
61078,75047,36145,72338,63699,gamma
19866,7776,58184,30188,18219,gamma
63801,21565,34225,28250,58726,gamma
15932,51658,16177,78121,64397,alpha
35526,24910,82277,6571,39210,beta
78071,36607,44945,44963,23198,beta
99203,16716,49958,67677,64694,alpha
65554,23747,18496,35623,78175,alpha
66763,79947,70355,62410,28784,gamma
45597,18416,52982,19947,98270,gamma
26011,19691,83632,74332,14933,gamma
34924,78128,8348,50816,97236,gamma
46366,26906,40226,60455,98233,gamma
67271,53902,80804,31429,92469,gamma
85404,14265,77656,40918,66650,beta
40553,40539,52991,39457,12857,beta
45766,55538,11523,87946,8369,beta
72212,7739,30100,55198,29872,gamma
37246,60930,93231,23781,65553,beta
55458,37919,98425,68022,10854,beta
66270,94557,26021,63021,6269,beta
44412,26250,6849,73062,64464,gamma
88791,86052,16821,24048,63702,beta
98478,9698,61553,85294,80374,gamma
77977,41379,57334,19433,4025,beta
53034,72768,51516,9816,20565,beta
56558,95336,76192,55156,97455,alpha
49702,12235,48778,2095,29319,gamma
67378,6535,65124,79088,74211,beta
2943,10580,42051,46150,50273,beta
83937,89708,80669,82521,50204,gamma
88893,33290,38984,67801,86271,gamma
14407,41172,50985,68406,34053,gamma
31147,57327,90871,46964,68015,alpha
46166,60323,209,41852,50394,gamma
20396,30338,83898,47353,22283,gamma
85075,54290,54660,96818,38802,alpha
56828,40203,75448,41380,64801,alpha
47865,36943,73022,96116,78261,alpha
24430,73961,57653,75781,801,beta
46990,98828,51912,23332,75728,gamma
90533,43725,73956,93086,8129,gamma
28013,99794,17106,25403,5012,gamma
37035,72475,38840,7808,74722,gamma
60809,7687,1996,91070,97746,gamma
93506,20729,83866,35601,9250,beta
4476,98269,74366,2043,89172,gamma
13010,69162,65775,38951,31453,alpha
2871,99475,66253,4920,89622,beta
63499,4203,73387,38,75305,alpha
35549,47,87895,85469,22050,alpha
19236,50087,84976,82703,43951,gamma
8081,46815,60747,21505,50134,alpha
25659,48674,82879,32416,15656,gamma
42686,7000,76547,93807,98947,alpha
85598,53047,16112,32206,49411,gamma
83075,61186,32499,2102,11972,beta
25682,45565,3359,83323,3385,beta
82376,48033,9406,43224,65780,beta
21257,4356,27782,30606,59137,gamma
90506,79911,22774,89044,62027,beta
50115,98907,33500,39537,81489,beta
45054,5506,60838,91669,27856,alpha
58843,17852,56741,80655,34683,alpha
68932,74367,58709,64247,44732,beta
6474,63957,27051,72419,49960,alpha
39405,28905,84839,91318,77914,alpha
1132,58095,98808,31756,30156,gamma
41138,22709,90919,49360,53111,alpha
15336,81801,49195,53993,79452,alpha
10375,60067,77709,5660,44934,alpha
73432,7415,86235,10798,18295,alpha
5565,38031,69660,90873,20600,gamma
73742,75995,78130,86839,86487,gamma
34473,90003,35502,44863,44660,beta
76124,4097,33823,99637,89897,beta
38557,36104,10514,645,81863,gamma
92513,12729,2816,85388,51973,beta
17564,69825,60489,48414,56903,alpha
20904,63871,83750,74552,44699,gamma
84510,73740,88134,35890,70208,beta
37420,4536,75033,65679,76555,alpha
85749,98575,64993,46517,38234,beta
68659,7896,68178,38342,17913,gamma
2635,43373,58007,13425,96825,gamma
16038,39680,55750,18927,81241,alpha
4695,86204,44591,71229,32464,gamma
94083,33999,70115,93252,7236,alpha
48179,30864,59880,72276,5808,beta
36274,52768,63340,57302,18233,alpha
12649,88742,22245,62500,37830,beta
55740,35593,51987,49388,73352,beta
88773,5695,32596,68671,51502,gamma
16575,32066,1296,57778,6849,beta
5993,93309,84171,12005,30179,alpha
35929,2087,91235,46587,27948,beta
80741,25843,90447,7673,50555,gamma
61988,47246,32074,66035,55560,alpha
31825,10976,34614,48264,52031,alpha
13352,85774,51235,74659,35392,gamma
47003,40512,19333,27978,64687,gamma
70490,6217,46235,99353,82609,gamma
68661,44891,53453,93836,89280,beta
50978,56348,24222,90379,1092,alpha
32751,10271,73860,14502,63252,gamma
73743,65308,95481,30158,76389,gamma
37073,65010,26832,78349,61736,alpha
85871,82392,71851,82760,89359,alpha
99453,46959,26900,20154,78328,alpha
49014,82401,45990,32627,81734,gamma
58802,68770,68537,10505,32421,alpha
22303,3169,15099,4695,13431,gamma
10099,78385,87080,95278,85997,alpha
7937,72361,13827,44544,266,beta
58479,79724,96269,30298,29152,gamma
70363,8534,2808,62536,79674,alpha
3729,60476,82922,65815,46106,beta
94498,70644,2069,5755,90747,beta
53702,95080,72889,23012,10315,gamma
56812,2241,71022,81041,77626,gamma
63254,63841,58866,10995,93929,beta
13010,44327,24425,57511,77032,alpha
51592,93846,33420,30976,88395,beta
22665,91546,89490,87911,83167,gamma
31765,50776,48714,81497,84636,beta
81053,32138,33592,93772,11754,beta
71970,73343,97396,29920,33082,beta
14719,58282,71341,19318,92821,alpha
6331,18921,99713,63607,55620,beta
60558,79153,68335,87763,55769,alpha
48823,10199,70562,70649,33623,gamma
24601,72945,44373,8466,69156,gamma
56540,9127,15166,31526,77558,beta
41867,93099,44766,75598,35278,beta
1823,63381,21745,56439,56325,gamma
30621,68456,46713,25232,76279,beta
56065,92751,28470,12398,50443,gamma
73099,69170,8239,56998,27344,gamma
83433,70760,16453,77430,72040,alpha
37721,61440,61327,22078,37863,beta
97338,4910,97039,86095,86492,gamma
67121,23856,1433,83933,8554,gamma
1299,50404,57676,94791,55775,beta
19921,44012,41640,71037,67850,gamma
75318,77029,74730,45614,23422,alpha
36941,27495,83828,65896,46870,beta
90172,53254,17678,60238,53768,gamma
98516,9380,39738,25243,92523,gamma
43022,85109,69719,54787,49902,beta
15473,35042,77454,50419,82340,alpha
77825,34151,62075,12100,5590,gamma
87752,29251,32914,62727,15134,beta
12045,15388,48740,32187,97627,gamma
36652,66889,21557,69420,8962,alpha
34891,76067,36229,95179,83693,beta
94248,46919,16296,50892,20925,beta
96362,49544,91785,16424,40628,beta
62467,16944,78921,75823,58979,alpha
55784,12737,62226,64199,56025,beta
19069,52914,6371,2314,3835,alpha
35260,63185,78992,2632,34383,beta
33799,83112,95129,47108,63812,alpha
84119,62797,49532,7587,11224,alpha
72592,20223,62917,1350,91565,beta
70222,47685,15647,19515,33919,beta
91518,66729,16935,74778,97895,beta
39356,81534,95164,55247,19763,gamma
59110,21887,33020,64321,37851,alpha
39558,90290,30078,63089,41216,beta
13777,78580,10928,72211,96610,alpha
63217,16359,89688,79330,72463,alpha
72367,3039,68918,90859,40603,beta
10952,63185,35478,18876,32863,gamma
29386,65779,28284,74265,93578,gamma
4371,67371,3857,40035,13827,alpha
77524,95321,91789,5977,33369,gamma
88104,39886,96858,52664,56790,gamma
61973,6793,57284,42033,83555,alpha
57615,71647,24458,69478,75234,alpha
56259,71126,12610,65728,98811,gamma
64800,99465,40246,69535,56876,alpha
39198,19924,1658,2135,28809,alpha
38661,52955,81536,36601,31598,gamma
79211,51017,11165,9038,13773,gamma
35671,70718,74825,5593,31101,gamma
52243,9244,2753,34497,37685,alpha
3928,66833,75500,34055,64237,gamma
23602,31863,39780,52689,43657,alpha
79503,57976,24113,44777,29237,beta
96043,86340,65758,21267,98342,alpha
59138,33538,11166,3334,38298,gamma
62449,58048,12869,87507,53355,gamma
33978,6401,33531,49070,65887,beta
30202,74003,36323,74010,52819,alpha
43794,9910,33086,89642,94675,beta
4470,44747,63087,93373,95305,beta
50676,34494,72331,6758,4809,gamma
33007,16994,12523,97511,82148,beta
70544,25884,93401,66888,85170,beta
63614,63435,60650,99225,29920,alpha
66271,85322,65532,61468,47290,alpha
22279,44824,75924,3363,93916,alpha
66713,91939,68581,41435,28328,beta
98634,87979,66003,18135,82606,beta
4264,56588,26297,73665,97616,gamma
91889,68793,72410,58725,5441,alpha
73981,61600,95053,26,31025,beta
10595,33754,17997,60878,74906,beta
74423,15353,81786,78151,6612,beta
79521,52528,18139,29399,41616,gamma
1272,43379,56063,4005,82944,alpha
47781,84505,72900,42691,22380,beta
90739,96313,30741,30127,268,beta
61398,84576,65033,23825,57398,alpha
87962,94007,72247,28208,61929,beta
42753,24507,22611,84261,81026,gamma
40923,57810,63354,60843,67966,alpha
60182,30235,95578,20639,39141,alpha
7371,96787,92549,18178,44034,beta
63816,60323,66367,55691,31421,alpha
16665,60591,20041,52779,57482,gamma
38866,86468,7447,25826,88667,gamma
41490,91845,98412,90086,99026,alpha
49650,43064,91230,78457,63422,gamma
14589,26768,49009,51982,52669,gamma
97951,63655,39050,76153,49420,gamma
74064,44784,80337,38043,15279,beta
11702,38691,3824,33959,14938,alpha
79079,49504,68097,49356,36097,beta
50938,67967,52580,84292,2117,alpha
561,4271,6654,15511,58064,alpha
98696,33012,27769,44199,21415,alpha
8321,23112,12165,26258,53856,alpha
40824,62112,96116,78327,86764,gamma
18236,10781,7142,95348,23741,gamma
86913,6146,82821,40859,66892,beta
34131,91006,95035,52638,93756,gamma
72968,83893,25694,64067,4336,alpha
51948,27038,92380,15036,78887,gamma
97410,80561,23680,9735,81725,gamma
26815,82344,11050,85216,11993,beta
75265,77115,83120,40028,55292,beta
31325,74161,38401,33436,92025,beta
7068,63567,70002,42078,54460,gamma
4960,45177,62273,35075,27430,gamma
31536,28609,37420,15419,50439,gamma
10033,45603,52136,70665,33571,gamma
59203,20582,52109,39755,29806,gamma
23312,98804,99532,45877,22924,beta
81791,8111,69420,20022,18927,alpha
40467,91499,28583,28876,76274,gamma
73919,42786,13435,15485,47296,gamma
55533,13559,79668,49376,7356,beta
33540,74973,51818,34392,73659,alpha
48217,69688,98823,52681,872,beta
14730,66493,63614,93700,84951,alpha
20812,40759,15395,19610,99871,gamma
909,83880,88181,62785,27914,alpha
17769,80356,17199,54501,46476,gamma
3784,80282,16705,37166,24026,alpha
99147,18955,72130,47641,65230,alpha
8602,44530,96364,40098,29822,gamma
9015,65279,35268,80042,15568,alpha
51961,76114,51027,36922,71638,alpha
85259,92639,74396,11780,31664,alpha
72127,84850,26177,54405,51298,gamma
85262,58416,54148,29476,72168,beta
57074,35369,19922,57871,38603,beta
58071,59458,57936,56919,39487,gamma
65318,40326,23880,54927,30775,alpha
16650,19848,39680,69419,46626,beta
11859,25778,3847,1606,23076,alpha
71780,93651,72324,23755,46356,beta
41427,62980,51222,53944,61766,beta
56216,82578,14081,61323,2427,beta
65503,65531,38890,92285,30366,alpha
70460,84011,65288,76436,42342,beta
94406,99980,57996,69939,40731,alpha
23908,11352,48301,93871,23916,alpha
94681,4455,59815,37878,37530,alpha
18766,95106,80476,8679,60279,gamma
13329,64151,39740,81894,27260,beta
64373,31672,85803,41646,83911,beta
35695,17828,45092,75692,30439,beta
3019,89459,20348,50664,48430,gamma
97838,41983,1950,22732,51470,beta
47285,1732,55081,33398,43288,beta
35851,6128,77064,80508,64345,beta
39204,71816,45252,26294,87853,beta
73640,87134,68843,64100,20486,gamma
6532,42931,23676,97488,45732,gamma
14139,74714,9721,31220,88507,beta
94683,11048,19904,58247,9196,gamma
40,57262,63866,55146,69465,beta
87971,68711,47468,38128,36099,beta
64681,48377,41949,95123,20509,alpha
25681,39197,49506,48384,42297,alpha
1858,57878,11258,97511,14640,gamma
59311,87614,95023,56363,11826,gamma
72893,27375,24270,13180,24015,beta
12767,51809,63544,60585,21259,beta
91601,21051,74499,65213,23468,alpha
62524,2601,31663,19475,74863,beta
49875,92767,1039,51706,93240,gamma
3346,23262,11276,73462,84330,alpha
85323,85424,1262,54681,76322,beta
62632,73097,86347,37877,41975,beta
4932,56478,1461,19769,2145,gamma
22331,96266,71893,55335,93147,alpha
30281,98337,16445,91214,93137,beta
21676,88670,69124,352,83001,beta
18012,4098,15382,74542,20344,alpha
36387,13399,531,75394,49348,beta
87426,74663,19706,94011,10181,beta
8654,25978,34501,57366,51899,gamma
52390,60583,42543,74964,77860,gamma
74133,35891,46849,91149,25105,beta
89201,45441,18282,21833,60996,beta
75807,70379,55612,27396,81553,alpha
45871,78119,25439,85987,57399,beta
35452,39849,58784,46037,34577,alpha
30106,28799,23502,87484,63512,gamma
98364,15241,36175,31359,53918,gamma
63226,65532,4895,98967,22842,gamma
16351,46964,9819,19136,59253,gamma
30612,57328,84603,83922,95913,beta
67060,81767,18840,90676,75144,gamma
61609,20388,95292,48186,55199,beta
76712,91640,65905,60628,51325,beta
91287,77376,88663,44553,21983,alpha
13147,80433,46688,31483,43582,alpha
81893,86208,49506,8249,96748,gamma
73207,36141,56664,28791,21968,gamma
18639,73196,74499,5755,98984,alpha
